wbe;jahr;anteil_roemischkatholisch
073;2007;18.6
073;2008;21.9
073;2009;20.6
073;2010;20.4
073;2011;22.3
073;2012;22.6
073;2013;21.6
073;2014;20.9
073;2015;22.9
081;2000;22.5
081;2001;22.9
081;2002;22.2
081;2003;21.4
081;2004;21.1
081;2005;20.3
081;2006;19.1
081;2007;18.7
081;2008;18.4
081;2009;17.7
081;2010;17.5
081;2011;16.7
081;2012;16.5
081;2013;15.8
081;2014;15.7
081;2015;15.0
082;2000;23.5
082;2001;22.7
082;2002;22.3
082;2003;21.4
082;2004;19.6
082;2005;19.6
082;2006;19.6
082;2007;18.8
082;2008;18.4
082;2009;17.8
082;2010;17.0
082;2011;16.8
082;2012;16.3
082;2013;16.5
082;2014;16.6
082;2015;16.0
083;2000;23.1
083;2001;22.7
083;2002;22.3
083;2003;21.6
083;2004;22.0
083;2005;22.9
083;2006;21.8
083;2007;21.5
083;2008;22.3
083;2009;21.9
083;2010;20.1
083;2011;19.3
083;2012;19.2
083;2013;18.7
083;2014;18.2
083;2015;18.7
084;2000;22.3
084;2001;22.1
084;2002;21.7
084;2003;21.0
084;2004;20.5
084;2005;20.5
084;2006;21.1
084;2007;20.8
084;2008;20.7
084;2009;20.2
084;2010;20.0
084;2011;19.7
084;2012;19.5
084;2013;18.4
084;2014;17.8
084;2015;17.1
085;2000;21.4
085;2001;21.2
085;2002;20.8
085;2003;20.7
085;2004;19.9
085;2005;19.3
085;2006;19.5
085;2007;19.2
085;2008;18.7
085;2009;18.7
085;2010;18.5
085;2011;17.7
085;2012;17.3
085;2013;17.2
085;2014;16.8
085;2015;16.0
091;2000;19.2
091;2001;19.1
091;2002;19.4
091;2003;19.6
091;2004;19.0
091;2005;18.5
091;2006;18.5
091;2007;17.7
091;2008;17.6
091;2009;17.3
091;2010;16.7
091;2011;16.3
091;2012;15.6
091;2013;15.3
091;2014;14.9
091;2015;14.4
092;2000;22.3
092;2001;22.3
092;2002;22.7
092;2003;22.0
092;2004;22.2
092;2005;21.5
092;2006;21.0
092;2007;20.2
092;2008;20.2
092;2009;19.3
092;2010;18.8
092;2011;18.9
092;2012;19.2
092;2013;19.7
092;2014;18.9
092;2015;18.4
101;2000;20.5
101;2001;19.7
101;2002;19.5
101;2003;19.2
101;2004;18.4
101;2005;18.2
101;2006;18.1
101;2007;18.1
101;2008;18.3
101;2009;17.6
101;2010;17.0
101;2011;16.4
101;2012;16.0
101;2013;15.8
101;2014;15.3
101;2015;15.0
102;2000;23.2
102;2001;22.9
102;2002;21.9
102;2003;20.6
102;2004;19.7
102;2005;18.7
102;2006;18.2
102;2007;18.1
102;2008;18.1
102;2009;17.7
102;2010;16.8
102;2011;16.9
102;2012;16.9
102;2013;16.0
102;2014;15.6
102;2015;14.8
103;2000;21.6
103;2001;21.2
103;2002;20.7
103;2003;20.1
103;2004;19.4
103;2005;18.9
103;2006;18.2
103;2007;17.8
103;2008;16.9
103;2009;16.1
103;2010;15.2
103;2011;14.2
103;2012;14.2
103;2013;14.1
103;2014;13.5
103;2015;13.7
111;2000;20.0
111;2001;19.2
111;2002;19.7
111;2003;19.6
111;2004;18.8
111;2005;17.7
111;2006;18.0
111;2007;18.5
111;2008;17.7
111;2009;17.2
111;2010;16.7
111;2011;16.2
111;2012;16.1
111;2013;15.5
111;2014;15.0
111;2015;14.9
112;2000;22.0
112;2001;21.8
112;2002;20.8
112;2003;20.9
112;2004;20.8
112;2005;19.7
112;2006;18.7
112;2007;18.8
112;2008;18.2
112;2009;19.5
112;2010;18.4
112;2011;17.4
112;2012;16.2
112;2013;15.2
112;2014;14.5
112;2015;14.3
113;2000;16.6
113;2001;16.6
113;2002;16.5
113;2003;16.2
113;2004;15.7
113;2005;15.3
113;2006;15.4
113;2007;15.2
113;2008;14.8
113;2009;14.5
113;2010;13.9
113;2011;13.0
113;2012;12.8
113;2013;12.7
113;2014;12.7
113;2015;12.2
114;2000;14.7
114;2001;14.2
114;2002;13.7
114;2003;13.3
114;2004;12.9
114;2005;14.2
114;2006;12.7
114;2007;12.4
114;2008;12.4
114;2009;11.7
114;2010;11.5
114;2011;11.7
114;2012;11.8
114;2013;10.4
114;2014;9.7
114;2015;8.7
115;2000;21.3
115;2001;21.0
115;2002;21.1
115;2003;20.6
115;2004;20.2
115;2005;19.3
115;2006;19.0
115;2007;19.0
115;2008;18.2
115;2009;17.8
115;2010;17.4
115;2011;17.0
115;2012;16.5
115;2013;16.0
115;2014;15.5
115;2015;15.1
121;2000;19.9
121;2001;19.2
121;2002;18.8
121;2003;18.0
121;2004;17.7
121;2005;17.4
121;2006;17.7
121;2007;18.1
121;2008;17.6
121;2009;18.3
121;2010;18.0
121;2011;17.3
121;2012;15.9
121;2013;16.4
121;2014;15.7
121;2015;15.5
122;2000;16.5
122;2001;15.8
122;2002;17.0
122;2003;16.7
122;2004;16.6
122;2005;15.9
122;2006;15.2
122;2007;14.3
122;2008;14.4
122;2009;14.3
122;2010;13.6
122;2011;13.9
122;2012;12.1
122;2013;12.8
122;2014;13.5
122;2015;11.8
131;2000;17.0
131;2001;16.9
131;2002;17.8
131;2003;16.7
131;2004;16.5
131;2005;16.1
131;2006;16.8
131;2007;16.0
131;2008;16.2
131;2009;15.4
131;2010;13.5
131;2011;12.2
131;2012;10.3
131;2013;10.4
131;2014;10.0
131;2015;11.7
132;2000;17.3
132;2001;16.4
132;2002;16.5
132;2003;15.5
132;2004;15.9
132;2005;15.0
132;2006;14.4
132;2007;14.6
132;2008;14.4
132;2009;14.0
132;2010;13.7
132;2011;13.4
132;2012;12.3
132;2013;12.1
132;2014;11.6
132;2015;11.4
141;2000;19.2
141;2001;19.1
141;2002;18.8
141;2003;19.3
141;2004;18.9
141;2005;18.5
141;2006;17.7
141;2007;18.7
141;2008;19.0
141;2009;18.3
141;2010;16.3
141;2011;16.9
141;2012;16.3
141;2013;15.5
141;2014;14.2
141;2015;13.3
142;2000;22.9
142;2001;22.3
142;2002;22.6
142;2003;22.2
142;2004;21.0
142;2005;19.9
142;2006;19.9
142;2007;20.1
142;2008;19.6
142;2009;19.5
142;2010;18.5
142;2011;18.1
142;2012;17.6
142;2013;16.5
142;2014;16.6
142;2015;16.2
151;2000;17.7
151;2001;16.7
151;2002;15.6
151;2003;15.4
151;2004;15.3
151;2005;14.7
151;2006;14.8
151;2007;14.7
151;2008;14.0
151;2009;13.6
151;2010;13.2
151;2011;13.3
151;2012;13.0
151;2013;12.1
151;2014;11.6
151;2015;11.3
152;2000;26.6
152;2001;25.5
152;2002;25.1
152;2003;24.7
152;2004;24.2
152;2005;23.5
152;2006;23.2
152;2007;22.7
152;2008;22.7
152;2009;21.7
152;2010;20.9
152;2011;20.1
152;2012;19.7
152;2013;19.6
152;2014;18.1
152;2015;17.7
153;2000;21.0
153;2001;20.6
153;2002;20.5
153;2003;20.2
153;2004;19.9
153;2005;19.5
153;2006;19.6
153;2007;19.7
153;2008;19.1
153;2009;18.0
153;2010;16.7
153;2011;16.5
153;2012;16.1
153;2013;16.0
153;2014;15.6
153;2015;15.2
161;2000;16.8
161;2001;16.7
161;2002;15.9
161;2003;15.6
161;2004;15.1
161;2005;14.8
161;2006;14.8
161;2007;15.0
161;2008;14.4
161;2009;13.7
161;2010;13.0
161;2011;12.5
161;2012;12.1
161;2013;12.0
161;2014;11.8
161;2015;11.5
162;2000;11.3
162;2001;15.5
162;2002;19.1
162;2003;11.5
162;2004;12.7
162;2005;13.8
162;2006;14.2
162;2007;13.5
162;2008;16.5
162;2009;14.4
162;2010;12.5
162;2011;14.0
162;2012;13.3
162;2013;12.3
162;2014;9.9
162;2015;10.1
171;2000;16.5
171;2001;17.3
171;2002;16.9
171;2003;17.6
171;2004;16.3
171;2005;16.4
171;2006;16.2
171;2007;14.8
171;2008;14.9
171;2009;14.3
171;2010;14.0
171;2011;13.6
171;2012;13.4
171;2013;12.4
171;2014;13.2
171;2015;12.7
172;2000;18.3
172;2001;17.4
172;2002;17.1
172;2003;17.0
172;2004;17.4
172;2005;16.2
172;2006;16.0
172;2007;16.0
172;2008;14.8
172;2009;13.5
172;2010;13.3
172;2011;13.4
172;2012;12.3
172;2013;11.8
172;2014;11.6
172;2015;11.7
173;2000;14.9
173;2001;16.2
173;2002;15.4
173;2003;15.4
173;2004;14.8
173;2005;13.9
173;2006;14.2
173;2007;14.9
173;2008;14.7
173;2009;13.6
173;2010;12.4
173;2011;11.9
173;2012;11.6
173;2013;11.3
173;2014;11.6
173;2015;11.2
174;2000;15.1
174;2001;15.1
174;2002;14.6
174;2003;14.4
174;2004;14.2
174;2005;14.0
174;2006;13.9
174;2007;14.0
174;2008;13.8
174;2009;13.6
174;2010;12.8
174;2011;12.4
174;2012;11.7
174;2013;11.2
174;2014;11.2
174;2015;10.5
180;2000;16.8
180;2001;16.3
180;2002;15.9
180;2003;16.0
180;2004;14.9
180;2005;14.4
180;2006;14.3
180;2007;14.5
180;2008;14.6
180;2009;13.9
180;2010;13.0
180;2011;12.6
180;2012;12.3
180;2013;12.2
180;2014;11.7
180;2015;11.4
190;2000;20.1
190;2001;19.3
190;2002;18.8
190;2003;17.5
190;2004;16.3
190;2005;15.6
190;2006;14.9
190;2007;14.5
190;2008;14.3
190;2009;14.1
190;2010;13.5
190;2011;13.0
190;2012;12.9
190;2013;12.2
190;2014;11.6
190;2015;11.6
201;2000;15.9
201;2001;15.6
201;2002;16.3
201;2003;16.4
201;2004;16.0
201;2005;15.9
201;2006;15.9
201;2007;15.9
201;2008;15.9
201;2009;15.4
201;2010;15.0
201;2011;14.8
201;2012;14.6
201;2013;14.2
201;2014;13.6
201;2015;13.7
202;2000;20.2
202;2001;19.9
202;2002;19.3
202;2003;18.3
202;2004;17.9
202;2005;17.3
202;2006;18.1
202;2007;17.1
202;2008;17.3
202;2009;16.6
202;2010;16.1
202;2011;15.2
202;2012;14.7
202;2013;14.6
202;2014;14.8
202;2015;13.8
203;2000;20.6
203;2001;20.2
203;2002;19.9
203;2003;18.9
203;2004;18.7
203;2005;18.5
203;2006;18.6
203;2007;19.3
203;2008;19.5
203;2009;19.2
203;2010;19.2
203;2011;19.9
203;2012;20.0
203;2013;20.4
203;2014;19.0
203;2015;18.6
204;2000;21.1
204;2001;22.0
204;2002;20.6
204;2003;22.4
204;2004;20.8
204;2005;20.8
204;2006;20.7
204;2007;20.0
204;2008;19.9
204;2009;19.8
204;2010;18.9
204;2011;18.8
204;2012;18.9
204;2013;19.4
204;2014;18.6
204;2015;19.1
205;2000;19.1
205;2001;19.1
205;2002;18.6
205;2003;18.3
205;2004;18.5
205;2005;18.5
205;2006;18.4
205;2007;18.8
205;2008;17.8
205;2009;17.4
205;2010;16.7
205;2011;15.8
205;2012;16.4
205;2013;15.5
205;2014;15.7
205;2015;15.6
206;2000;20.7
206;2001;20.5
206;2002;20.7
206;2003;20.7
206;2004;20.2
206;2005;19.5
206;2006;19.4
206;2007;19.1
206;2008;18.6
206;2009;18.2
206;2010;17.6
206;2011;17.2
206;2012;16.6
206;2013;16.2
206;2014;16.3
206;2015;15.6
207;2000;23.6
207;2001;22.7
207;2002;22.4
207;2003;21.7
207;2004;21.3
207;2005;20.8
207;2006;19.7
207;2007;19.2
207;2008;19.0
207;2009;18.8
207;2010;18.6
207;2011;18.3
207;2012;17.8
207;2013;17.7
207;2014;16.9
207;2015;16.4
208;2000;19.9
208;2001;20.1
208;2002;20.4
208;2003;19.9
208;2004;19.6
208;2005;19.2
208;2006;20.1
208;2007;19.9
208;2008;20.4
208;2009;20.9
208;2010;20.4
208;2011;20.1
208;2012;19.4
208;2013;18.8
208;2014;18.6
208;2015;18.0
301;2000;20.1
301;2001;19.8
301;2002;19.0
301;2003;18.6
301;2004;19.3
301;2005;18.4
301;2006;18.2
301;2007;17.9
301;2008;19.0
301;2009;18.6
301;2010;17.0
301;2011;15.8
301;2012;15.9
301;2013;16.8
301;2014;16.8
301;2015;15.7
302;2000;2.3
302;2001;NaN
302;2002;2.8
302;2003;2.2
302;2004;3.1
302;2005;2.2
302;2006;2.7
302;2007;2.4
302;2008;3.8
302;2009;4.0
302;2010;4.0
302;2011;3.1
302;2012;3.9
302;2013;4.4
302;2014;4.2
302;2015;4.3
